"管理用番号","市町村コード","基準地番号・標準地番号(最新年)","地価調査・地価公示の別","用途","所在(市町村名)","所在(大字以降)","所在(住居表示)","経度(世界測地系)","緯度(世界測地系)","平成5年(1993)","平成6年(1994)","平成7年(1995)","平成8年(1996)","平成9年(1997)","平成10年(1998)","平成11年(1999)","平成12年(2000)","平成13年(2001)","平成14年(2002)","平成15年(2003)","平成16年(2004)","平成17年(2005)","平成18年(2006)","平成19年(2007)","平成20年(2008)","平成21年(2009)","平成22年(2010)","平成23年(2011)","平成24年(2012)","平成25年(2013)","平成26年(2014)","平成27年(2015)","平成28年(2016)","平成29年(2017)","平成30年(2018)","令和元年(2019)","令和２年(2020)","経度","緯度","分類"
"298","302015","和歌山(県)5-7","地価調査","商業","和歌山市","川辺字神ノ木１９３番１外","","135.26532","34.26016","","","","","","","","","","","","","","","","","","","","48300","47000","46400","46400","46500","46500","46500","46500","46,400","135.265320000003","34.2601600000004","令和２年地価調査基準地"
"49","302015","和歌山(県)5-8","地価調査","商業","和歌山市","太田２丁目１３番８","太田２－１３－１２","135.19502","34.23214","","","650000","552000","475000","400000","345000","310000","290000","270000","248000","220000","205000","198000","198000","200000","197000","195000","193000","187000","186000","186000","187000","188000","189000","190000","191000","191,000","135.195020000003","34.2321399999969","令和２年地価調査基準地"
"334","302015","和歌山(県)5-9","地価調査","商業","和歌山市","南中間町６３番外","","135.1628520","34.2251390","","","","","","","","","","","","","","","","","","","","","","","","","","","","131,000","135.162852000005","34.2251390000002","令和２年地価調査基準地"
"51","302015","和歌山(県)5-10","地価調査","商業","和歌山市","本町３丁目２９番１外","","135.17467","34.23531","1100000","1010000","868000","739000","620000","520000","458000","405000","324000","275000","240000","205000","190000","180000","174000","175000","170000","164000","156000","152000","144000","140000","138000","139000","139000","140000","141000","141,000","135.174670000004","34.2353099999973","令和２年地価調査基準地"
"292","302015","和歌山(県)5-11","地価調査","商業","和歌山市","北野字古屋４０９番２外","","135.24725","34.26908","","","","","","","","","","","","","","","","","","69000","67000","62600","58500","55500","53600","53500","53400","53400","53400","52,900","135.247250000004","34.2690799999977","令和２年地価調査基準地"
"59","302015","和歌山(県)5-12","地価調査","商業","和歌山市","次郎丸字塩ノ口８４番４","","135.14804","34.25419","","","","","","","","","","126000","117000","108000","99700","94700","91100","91000","89500","85800","82200","80000","77700","76200","75000","73900","73000","72800","72600","72,400","135.14804","34.2541899999983","令和２年地価調査基準地"
"60","302015","和歌山(県)5-13","地価調査","商業","和歌山市","島橋東ノ丁２６７番８外","島橋東ノ丁１－４７","135.15125","34.24362","","","","","","","","","","143000","134000","124000","115000","109000","105000","104000","102000","96900","93000","90500","88100","86300","85200","84200","83300","82500","81900","81,100","135.15125","34.2436199999986","令和２年地価調査基準地"
"55","302015","和歌山(県)5-14","地価調査","商業","和歌山市","美園町５丁目３番６","","135.18972","34.23053","1120000","997000","847000","715000","625000","535000","465000","410000","365000","325000","290000","255000","230000","217000","217000","220000","217000","210000","202000","196000","191000","191000","191000","193000","195000","195000","196000","196,000","135.189720000002","34.230529999997","令和２年地価調査基準地"
"56","302015","和歌山(県)5-15*","地価調査","商業","和歌山市","中之島字西垣内６７３番９外","","135.1803","34.23957","445000","400000","358000","300000","264000","224000","201000","183000","172000","162000","149000","140000","131000","127000","127000","127000","123000","118000","114000","111000","109000","109000","109000","110000","110000","110000","111000","112,000","135.180300000003","34.2395699999974","令和２年地価調査基準地"
"57","302015","和歌山(県)5-16","地価調査","商業","和歌山市","新内字友田５番","","135.18432","34.23356","820000","743000","638000","538000","460000","410000","357000","316000","275000","245000","220000","200000","183000","170000","164000","165000","160000","154000","148000","145000","142000","142000","142000","142000","142000","142000","143000","142,000","135.184320000003","34.2335599999969","令和２年地価調査基準地"
"61","302015","和歌山(県)5-17","地価調査","商業","和歌山市","小雑賀３丁目１４０番１６","小雑賀３－５－３１","135.18502","34.21107","","","","","","","","","","180000","160000","146000","135000","130000","132000","133000","131000","128000","125000","123000","122000","122000","123000","124000","125000","125000","125000","125,000","135.185020000002","34.2110699999975","令和２年地価調査基準地"
"1","302015","和歌山(県)-1","地価調査","住宅","和歌山市","雑賀道６番","","135.18121","34.22564","270000","265000","255000","242000","222000","206000","184000","167000","153000","145000","134000","124000","117000","114000","114000","113000","111000","107000","105000","102000","99100","99100","99100","99100","99100","99100","99100","99,100","135.181210000003","34.2256399999964","令和２年地価調査基準地"
"2","302015","和歌山(県)-2","地価調査","住宅","和歌山市","塩屋５丁目１４４番１３","塩屋５－５－４３","135.17884","34.19909","180000","180000","174000","170000","167000","161000","154000","146000","138000","130000","123000","115000","108000","104000","103000","102000","100000","95000","90000","87000","84300","83200","82100","81000","80200","79600","79200","78,800","135.178840000002","34.1990899999986","令和２年地価調査基準地"
"3","302015","和歌山(県)-3","地価調査","住宅","和歌山市","有家字寺田２６２番６","","135.19743","34.22187","155000","155000","151000","148000","145000","143000","134000","131000","128000","120000","112000","103000","94700","89000","86500","85600","83400","80600","77000","74800","73300","72200","71500","71000","70800","70700","70700","70,300","135.197430000002","34.2218699999975","令和２年地価調査基準地"
"4","302015","和歌山(県)-4","地価調査","住宅","和歌山市","狐島字西淀屋６１５番１００外","","135.14781","34.24981","120000","120000","119000","118000","118000","110000","99500","92100","85700","80600","76000","72000","65000","61400","60200","59500","57900","55000","52000","49000","46500","44600","43100","42000","41500","41100","40700","40,300","135.14781","34.2498099999983","令和２年地価調査基準地"
"5","302015","和歌山(県)-5","地価調査","住宅","和歌山市","南田辺丁２７番","","135.1639","34.22396","","","","","","","180000","171000","164000","153000","144000","134000","125000","121000","121000","121000","117000","113000","110000","107000","105000","105000","105000","106000","107000","108000","109000","109,000","135.163900000006","34.22396","令和２年地価調査基準地"
"6","302015","和歌山(県)-6","地価調査","住宅","和歌山市","三葛字的場６６４番１３","","135.19127","34.19327","","","","","","130000","125000","121000","118000","106000","96500","90000","85000","80500","77000","74000","70600","68100","65600","63500","61700","60500","59200","58000","57100","56400","56100","55,800","135.191270000002","34.1932699999983","令和２年地価調査基準地"
"31","302015","和歌山(県)-7*","地価調査","住宅","和歌山市","太田字神ノ畔１５２番","","135.1979","34.22768","318000","306000","295000","277000","251000","226000","201000","183000","170000","161000","153000","144000","138000","133000","135000","135000","132000","128000","126000","124000","124000","126000","127000","129000","131000","131000","132000","133,000","135.197900000002","34.2276799999973","令和２年地価調査基準地"
"8","302015","和歌山(県)-8","地価調査","住宅","和歌山市","粟字重道ノ坪１８１番２７","","135.1672","34.25343","143000","143000","140000","137000","136000","127000","116000","105000","94500","89000","84000","80000","76500","72000","71000","67000","65000","62400","58500","56200","55100","53500","52000","50900","50000","49200","48500","47,800","135.167200000002","34.253429999998","令和２年地価調査基準地"
"9","302015","和歌山(県)-9","地価調査","住宅","和歌山市","宇須２丁目３５４番２８","宇須２－２－１８","135.17464","34.2123","205000","205000","197000","192000","189000","173000","160000","148000","138000","130000","122000","114000","108000","103000","102000","101000","99500","96000","92600","91000","90000","89500","89500","90000","90500","90500","90500","90,500","135.174640000003","34.2122999999979","令和２年地価調査基準地"
"10","302015","和歌山(県)-10","地価調査","住宅","和歌山市","禰宜字瓜畑１３６０番１６","","135.24561","34.24329","100000","100000","99500","99000","99000","97000","95000","90000","86000","81000","76300","71900","66000","63400","60900","58500","56200","53500","48000","46300","45800","44200","42500","41700","41300","40900","40500","40,100","135.245610000002","34.243289999999","令和２年地価調査基準地"
"317","302015","和歌山(県)-11","地価調査","住宅","和歌山市","関戸１丁目８３番１０","関戸１－３－３","135.168491","34.200089","","","","","","","","","","","","","","","","","","","","","","","","110000","110000","111000","112000","112,000","135.168491000005","34.2000889999974","令和２年地価調査基準地"
"12","302015","和歌山(県)-12","地価調査","住宅","和歌山市","北中島１丁目９７番１５","北中島１－９－４４","135.18708","34.21056","176000","176000","173000","170000","165000","155000","147000","135000","127000","120000","112000","105000","97000","92000","91000","90000","88000","85500","82300","80700","79000","78000","76800","75700","74700","74000","73400","72,900","135.187080000002","34.2105599999976","令和２年地価調査基準地"
"309","302015","和歌山(県)-13","地価調査","住宅","和歌山市","大谷字雨谷８３１番７７","","135.1776","34.26269","","","","","","","","","","","","","","","","","","","","","","45900","45300","45500","45500","45500","45300","45,100","135.177600000002","34.2626899999973","令和２年地価調査基準地"
"14","302015","和歌山(県)-14","地価調査","住宅","和歌山市","西浜字中川向ノ坪１４２４番６外","","135.15565","34.20808","124000","124000","122000","120000","119000","117000","114000","108000","102000","92300","83500","78500","75200","72900","70700","68600","66100","62700","59000","57200","54500","51300","48800","46800","45000","43600","42700","41,400","135.155650000003","34.208079999999","令和２年地価調査基準地"
"15","302015","和歌山(県)-15","地価調査","住宅","和歌山市","木ノ本字岩ノ谷１４５０番５０","","135.12909","34.27055","105000","105000","105000","101000","98000","94000","83500","76500","68900","64800","58800","53000","48000","44400","41500","40000","38000","36600","34200","31000","29500","28800","28100","28000","28200","28400","28600","28,600","135.129090000003","34.2705499999979","令和２年地価調査基準地"
"16","302015","和歌山(県)-16","地価調査","住宅","和歌山市","松江東４丁目１１６７番５９","松江東４－７－３７","135.14073","34.24711","150000","147000","146000","145000","143000","134000","121000","111000","102000","92000","85000","78200","73500","69500","66700","65400","63400","61500","59000","56600","54500","52900","51900","51200","50600","50100","49700","49,300","135.140730000002","34.2471099999984","令和２年地価調査基準地"
"17","302015","和歌山(県)-17","地価調査","住宅","和歌山市","西高松２丁目１２５番１３","西高松２－１１－３１","135.16816","34.20498","279000","270000","261000","245000","228000","213000","196000","185000","180000","172000","163000","154000","145000","141000","140000","140000","138000","136000","134000","132000","131000","131000","131000","133000","134000","134000","134000","134,000","135.168160000005","34.2049799999973","令和２年地価調査基準地"
"18","302015","和歌山(県)-18","地価調査","住宅","和歌山市","西浜字郷西ノ坪１０６３番４５","","135.15757","34.19228","157000","157000","155000","154000","153000","151000","149000","139000","132000","124000","118000","113000","107000","103000","99900","97000","94000","89800","85500","83000","81000","78500","76600","75000","73500","72200","71100","70,000","135.157570000004","34.1922799999997","令和２年地価調査基準地"
"19","302015","和歌山(県)-19","地価調査","住宅","和歌山市","和歌浦東３丁目５９５番２３","和歌浦東３－２－２３","135.17722","34.19185","153000","153000","151000","149000","147000","147000","142000","135000","128000","120000","113000","106000","98700","92900","90000","87500","84700","81700","78000","76400","72700","70500","68500","66600","65000","63700","62400","61,100","135.177220000003","34.191849999998","令和２年地価調査基準地"
"68","302015","和歌山(県)-20","地価調査","住宅","和歌山市","朝日字荒毛１番２","","135.22092","34.19154","55300","55300","55000","55000","55000","55000","55000","54300","53500","52700","49900","47500","44500","42300","41800","41000","38200","36000","33500","31200","29100","27500","26500","25700","25200","25000","24800","24,500","135.220920000003","34.1915399999964","令和２年地価調査基準地"
"21","302015","和歌山(県)-21","地価調査","住宅","和歌山市","黒田字桑ノ木２２９番１０外","","135.19717","34.23802","","160000","160000","157000","155000","153000","145000","139000","134000","119000","113000","106000","99600","95500","95000","91700","88500","84500","81100","77800","73000","70000","66600","65300","64600","64600","64600","64,300","135.197170000003","34.2380199999972","令和２年地価調査基準地"
"116","302066","田辺(県)-3","地価調査","住宅","田辺市","明洋２丁目３９８１番５４","明洋２－６－１８","135.36177","33.74192","77000","77000","77000","77000","77000","76000","72800","68500","66500","63900","61200","58500","55900","54000","52200","50600","48800","47200","45300","43500","42700","46000","47000","48500","50000","50000","50000","50,000","135.361770000007","33.7419199999975","令和２年地価調査基準地"
"117","302066","田辺(県)-4","地価調査","住宅","田辺市","上屋敷２丁目１１６番３２","上屋敷２－１１－５２","135.37623","33.72942","170000","170000","165000","160000","158000","154000","147000","138000","134000","128000","120000","111000","101000","94000","88000","82700","77300","72000","67700","62500","58000","55000","53000","51500","50400","49800","49500","48,500","135.376230000006","33.729419999998","令和２年地価調査基準地"
"327","302066","田辺(県)-5","地価調査","住宅","田辺市","龍神村西字林６５番","","135.4875823","33.89294747","","","","","","","","","","","","","","","","","","","","","","","","","","","7840","7,800","135.487582300001","33.8929474699989","令和２年地価調査基準地"
"128","302066","田辺(県)-6","地価調査","住宅","田辺市","中辺路町近露字北野９４７番","","135.6076","33.81487","","","","","14000","13800","13000","12800","12600","12200","11800","11300","10800","10300","10000","9700","9500","9300","9000","8690","8400","8250","8250","8220","8190","8190","8150","8,100","135.607600000008","33.8148699999949","令和２年地価調査基準地"
"120","302066","田辺(県)-7*","地価調査","住宅","田辺市","南新万１１２５番６４","南新万２－６","135.39295","33.73099","","110000","112000","114000","115000","115000","113000","110000","107000","103000","102000","100000","98800","95800","92900","89500","86000","82100","78300","78300","82000","90800","99800","104000","106000","107000","108000","108,000","135.392950000005","33.7309899999999","令和２年地価調査基準地"
